season,player_id,display_name,carries,bucket,tier_current,tier_score_current,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2002,00-0020527,Deuce McAllister,325,300+,League Winner,5,15.0,20.73333333333333,311.0,16.0,20.2625,324.2,False
2002,00-0019693,Jamal Lewis,308,300+,Star,3,16.0,15.74375,251.9,16.0,20.175,322.8,False
2002,00-0021179,Clinton Portis,273,250-299,League Winner,5,16.0,19.7625,316.2,13.0,24.053846153846152,312.7,False
2002,00-0019647,Shaun Alexander,295,250-299,League Winner,5,16.0,20.53125,328.5,16.0,19.0625,305.0,False
2002,00-0016098,Fred Taylor,287,250-299,Superstar,4,16.0,16.8375,269.4,16.0,17.2625,276.2,False
2002,00-0017915,Ricky Williams,383,300+,League Winner,5,16.0,22.5375,360.6,16.0,17.01875,272.3,False
2002,00-0008241,Edgerrin James,277,250-299,Star,3,14.0,15.107142857142858,211.5,13.0,20.45384615384615,265.9,False
2002,00-0000745,Tiki Barber,304,300+,League Winner,5,16.0,20.06875,321.1,16.0,15.3,244.8,False
2002,00-0020471,Travis Henry,325,300+,Superstar,4,16.0,17.85625,285.7,15.0,15.673333333333334,235.1,False
2002,00-0010442,Curtis Martin,261,250-299,Star,3,16.0,14.925,238.8,16.0,12.9375,207.0,False
2002,00-0005883,Eddie George,343,300+,Superstar,4,16.0,16.3875,262.2,16.0,10.7125,171.4,False
2002,00-0015523,Duce Staley,269,250-299,Star,3,16.0,16.1375,258.2,16.0,9.86875,157.9,False
2002,00-0015091,Antowain Smith,252,250-299,Starter,2,16.0,12.60625,201.7,13.0,7.953846153846154,103.4,False
2002,00-0004304,Corey Dillon,314,300+,Star,3,16.0,15.11875,241.9,13.0,6.476923076923077,84.2,False
2002,00-0020514,Michael Bennett,255,250-299,Star,3,16.0,14.48125,231.7,8.0,9.2375,73.9,False
2002,00-0015165,Emmitt Smith,254,250-299,Mid/replacement,1,16.0,9.4,150.4,10.0,6.23,62.3,False
2003,00-0000745,Tiki Barber,278,250-299,Star,3,16.0,15.3,244.8,16.0,21.725,347.6,False
2003,00-0020536,LaDainian Tomlinson,313,300+,League Winner,5,16.0,27.74,443.84,15.0,22.27466666666667,334.12,False
2003,00-0019647,Shaun Alexander,326,300+,League Winner,5,16.0,19.0625,305.0,16.0,20.175,322.8,False
2003,00-0010442,Curtis Martin,323,300+,Starter,2,16.0,12.9375,207.0,16.0,19.95,319.2,False
2003,00-0008241,Edgerrin James,309,300+,League Winner,5,13.0,20.45384615384615,265.9,16.0,19.14375,306.3,False
2003,00-0021179,Clinton Portis,290,250-299,League Winner,5,13.0,24.053846153846152,312.7,15.0,15.573333333333332,233.6,False
2003,00-0006305,Ahman Green,355,300+,League Winner,5,16.0,24.0625,385.0,15.0,15.24,228.6,False
2003,00-0007661,Priest Holmes,320,300+,League Winner,5,16.0,27.8125,445.0,8.0,26.6125,212.9,False
2003,00-0020527,Deuce McAllister,351,300+,League Winner,5,16.0,20.2625,324.2,14.0,15.014285714285714,210.2,False
2003,00-0016098,Fred Taylor,345,300+,Superstar,4,16.0,17.2625,276.2,14.0,14.778571428571428,206.9,False
2003,00-0019693,Jamal Lewis,388,300+,League Winner,5,16.0,20.175,322.8,12.0,13.683333333333332,164.2,False
2003,00-0005883,Eddie George,312,300+,Mid/replacement,1,16.0,10.7125,171.4,13.0,6.346153846153846,82.5,False
