coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
Gary Kubiak,DEN,2015,2016,2,0.21875,2,Peyton Manning (1yr); Trevor Siemian (1yr)
Gary Kubiak,HOU,2006,2013,8,0.59375,2,David Carr (1yr); Matt Schaub (7yr)
Gary Kubiak,MIN,2020,2020,1,0.71875,1,Kirk Cousins (1yr)
Geep Chryst,SF,2015,2015,1,0.09375,1,Blaine Gabbert (1yr)
George Godsey,HOU,2015,2016,2,0.203125,2,Brian Hoyer (1yr); Brock Osweiler (1yr)
George Godsey,MIA,2021,2021,1,0.34375,1,Tua Tagovailoa (1yr)
George Sefcik,ATL,2001,2001,1,0.3870967741935484,1,Chris Chandler (1yr)
George Seifert,CAR,2001,2001,1,0.064516129032258,1,Chris Weinke (1yr)
Giff Smith,LAC,2023,2023,1,0.28125,1,Justin Herbert (1yr)
Gil Haskell,SEA,2001,2002,2,0.7298387096774194,1,Matt Hasselbeck (2yr)
Gil Haskell,SEA,2005,2007,3,0.6666666666666666,1,Matt Hasselbeck (3yr)
Grant Udinski,JAX,2025,2025,1,0.59375,1,Trevor Lawrence (1yr)
Grant Udinski,MIN,2024,2024,1,0.59375,1,Sam Darnold (1yr)
Greg Knapp,ATL,2004,2006,3,0.4791666666666667,1,Michael Vick (3yr)
Greg Knapp,LV,2007,2008,2,0.203125,2,Josh McCown (1yr); JaMarcus Russell (1yr)
Greg Knapp,LV,2012,2012,1,0.25,1,Carson Palmer (1yr)
Greg Knapp,SEA,2009,2009,1,0.25,1,Matt Hasselbeck (1yr)
Greg Knapp,SF,2001,2003,3,0.8746639784946236,1,Jeff Garcia (3yr)
Greg Olson,JAX,2015,2016,2,0.25,1,Blake Bortles (2yr)
Greg Olson,LA,2006,2007,2,0.4375,1,Marc Bulger (2yr)
Greg Olson,LV,2013,2014,2,0.1875,2,Terrelle Pryor (1yr); Derek Carr (1yr)
Greg Olson,LV,2018,2021,4,0.4921875,1,Derek Carr (4yr)
Greg Olson,LV,2025,2025,1,0.03125,1,Geno Smith (1yr)
Greg Olson,TB,2009,2011,3,0.3645833333333333,1,Josh Freeman (3yr)
Greg Roman,BAL,2018,2022,5,0.675,2,Joe Flacco (1yr); Lamar Jackson (4yr)
Greg Roman,BUF,2015,2015,1,0.6875,1,Tyrod Taylor (1yr)
Greg Roman,LAC,2024,2025,2,0.484375,1,Justin Herbert (2yr)
Greg Roman,SF,2011,2014,4,0.6171875,2,Alex Smith (2yr); Colin Kaepernick (2yr)
Greg Schiano,TB,2012,2013,2,0.375,2,Josh Freeman (1yr); Mike Glennon (1yr)
Gregg Williams,BUF,2001,2002,2,0.5206653225806451,2,Drew Bledsoe (1yr); Rob Johnson (1yr)
Gus Bradley,JAX,2013,2016,4,0.1484375,2,Chad Henne (1yr); Blake Bortles (3yr)
Hal Hunter,LAC,2012,2012,1,0.3125,1,Philip Rivers (1yr)
Harold Goodwin,ARI,2013,2017,5,0.46875,2,Carson Palmer (4yr); Drew Stanton (1yr)
Herm Edwards,KC,2006,2006,1,0.65625,1,Trent Green (1yr)
Herman Edwards,KC,2008,2008,1,0.28125,1,Tyler Thigpen (1yr)
Herman Edwards,NYJ,2001,2005,5,0.5721774193548387,3,Vinny Testaverde (1yr); Chad Pennington (3yr); Brooks Bollinger (1yr)
Hue Jackson,ATL,2007,2007,1,0.0625,1,Joey Harrington (1yr)
Hue Jackson,CIN,2014,2015,2,0.65625,1,Andy Dalton (2yr)
Hue Jackson,CLE,2016,2018,3,0.23958333333333334,3,Cody Kessler (1yr); DeShone Kizer (1yr); Baker Mayfield (1yr)
Hue Jackson,LV,2010,2011,2,0.5625,2,Carson Palmer (1yr); Jason Campbell (1yr)
Jack Del Rio,JAX,2003,2007,5,0.68125,2,David Garrard (2yr); Byron Leftwich (3yr)
Jack Del Rio,JAX,2009,2011,3,0.4166666666666667,2,David Garrard (2yr); Blaine Gabbert (1yr)
Jack Del Rio,LV,2015,2017,3,0.5208333333333334,1,Derek Carr (3yr)
Jason Garrett,DAL,2009,2019,11,0.7045454545454546,4,Jon Kitna (1yr); Tony Romo (5yr); Matt Cassel (1yr); Dak Prescott (4yr)
Jason Garrett,NYG,2020,2020,1,0.09375,1,Daniel Jones (1yr)
Jason Garrett (fired after week 11),NYG,2021,2021,1,0.03125,1,Daniel Jones (1yr)
