coach,n_qbs,avg_raw_delta,avg_resid_delta,t_resid,p_resid
Mike Shula,3,-0.06387553418803421,-0.02524551055336392,-0.31132354379667454,0.7850087468357799
Rex Ryan,3,-0.09895833333333333,-0.026632048442084777,-0.17025230975454797,0.8804764445647426
Mike McDaniel,2,0.0625,-0.02696446445402776,-0.4260607864358078,0.7435894182989055
Clyde Christensen,4,-0.03204205069124422,-0.028255229251925765,-0.24711037261327012,0.820768544402763
Jim Fassel,3,-0.01787634408602153,-0.029849359943165635,-0.47336447355093825,0.682589673808208
Mike Martz,4,-0.03353074596774193,-0.03287171406697199,-0.2001917052410337,0.8541330933062202
Jonathan Gannon,2,0.0013020833333333426,-0.033454723755995334,-0.23060251115187258,0.8557161431860684
Drew Petzing,2,0.0013020833333333426,-0.033454723755995334,-0.23060251115187258,0.8557161431860684
Mike Sullivan,3,-0.08593749999999999,-0.03591993763805836,-0.16142286439111148,0.8865931772685831
Vance Joseph,2,-0.005208333333333343,-0.03793030677170041,-0.5354877167076326,0.6870166390704598
Dan Campbell,2,-0.01085069444444442,-0.03990023533841149,-0.4845465239648003,0.7127516995119777
Greg Knapp,6,-0.05567112658846532,-0.0413316620165462,-0.36974896666913015,0.7267133757302724
Sean McVay,4,-0.0036221590909090995,-0.04187075443944602,-0.26804458438483864,0.8060387307960213
Bill Lazor,4,-0.04201388888888889,-0.044700984658029436,-0.4868718581882994,0.6597039891200926
Ken Whisenhunt,4,-0.09539874188311687,-0.04480206426376673,-0.3784176174831962,0.7303116715270103
Kevin O'Connell,5,-0.017447916666666664,-0.04746597813708718,-0.31892320434556143,0.7657443479182938
Todd Downing,2,-0.029296875,-0.0502961650554741,-0.5086719076793728,0.7004315355702744
Jimmy Raye,2,-0.05851814516129031,-0.05423884751326604,-0.5975886107680815,0.6570882396835414
Dave Canales,3,0.014835858585858583,-0.055804418353567094,-0.8023448706345127,0.506541891967399
John Fox,4,-0.060497871863799235,-0.05870591883870313,-1.085907466298846,0.3569824302231301
Pep Hamilton,2,0.010416666666666685,-0.05906094531204022,-0.5409647759049372,0.6843130356670876
Eric Mangini,3,-0.0859543010752688,-0.059987868605795504,-0.3849373173539317,0.7373635432674965
Jeff Davidson,2,-0.04750504032258063,-0.06263617985780774,-0.43757557137412434,0.7374109786225458
Pete Carmichael,4,-0.02126675407925406,-0.06370214896572027,-0.6461465450728737,0.5642078188038469
Brian Schottenheimer,7,-0.04212029569892474,-0.06482474399953765,-0.9854507990986948,0.36245806629063354
Todd Bowles,5,-0.050420026881720446,-0.06741611939812597,-0.5967659905094973,0.5827987348535452
Ron Rivera,2,0.008563701923076927,-0.07010286356079362,-0.16765781392859425,0.8942492551026279
Nick Sirianni,3,0.024925595238095233,-0.07095079753114296,-0.5764603711267883,0.6225350419249581
Rick Dennison,6,-0.0844144025217614,-0.07745337777515611,-0.47161143708654896,0.6570663483109465
Raheem Morris,3,-0.07903439153439153,-0.08111449373434111,-1.5195435365925207,0.2679777737839997
Chris Palmer,2,-0.11595262096774195,-0.08207144924339312,-1.4168991987981694,0.3912573630379051
Byron Leftwich,2,-0.02315748207885307,-0.08558512076416255,-1.7323527332465174,0.33328528665089235
Brad Childress,6,-0.07855404284335733,-0.0873445870827088,-0.8363455625402798,0.44108579264208586
Lovie Smith,7,-0.0851934523809524,-0.0902607969144661,-1.050949783468448,0.3337557965297936
Brian Flores,2,-0.1519097222222222,-0.0908405177697813,-1.6662742133559099,0.3441078857517134
Nathaniel Hackett,4,0.0006510416666666574,-0.09640130743611736,-1.7075844764214287,0.1862505604409312
Vic Fangio,2,-0.05859375,-0.10218609751299337,-5.8344634667746575,0.1080636701418977
Ron Turner,3,-0.14988425925925924,-0.10598171155166997,-2.3954704669536264,0.13887016590025086
Kellen Moore,4,-0.06841856060606062,-0.10866788231738073,-0.9406566387497635,0.41627545872208294
Marc Trestman,3,-0.01916468108504399,-0.10989341868157206,-0.7359680713137985,0.538362387602532
Mike McCarthy,6,-0.13154655044776012,-0.11006003590564269,-1.0596951996550759,0.3377670494726032
Jon Gruden,5,-0.10681115591397847,-0.11705602970534949,-1.0577389021455224,0.34982201586726935
Jim Tomsula,2,-0.04867788461538461,-0.12225258482919031,-6.545112732011282,0.0965200144412684
Brad Idzik,2,-0.029829545454545442,-0.12266814756664197,-3.6985405350972047,0.1681077976615974
Dennis Allen,3,-0.1886574074074074,-0.13282478600490466,-1.594594606186743,0.25184473831208987
Greg Olson,5,-0.12875,-0.1349631862203609,-1.4190045720937232,0.22889936906571537
Brian Daboll,4,-0.16888020833333334,-0.13655667947348038,-0.9982440702335866,0.3917289277209388
Dennis Green,2,-0.14322916666666669,-0.13674900648367422,-0.6538656086213215,0.6313411944050755
Dowell Loggains,4,-0.169921875,-0.14209370844708555,-0.9477214981150798,0.4131889794618903
Sean Payton,4,-0.0974180347542243,-0.1423585227509276,-1.7353879169551507,0.18107801228701428
Mike Sheppard,2,-0.09538810483870969,-0.1427340492685384,-2.334313443739405,0.2576653301487417
George Godsey,2,-0.1453125,-0.14580382458264446,-3.6047515807015125,0.17227370040506657
Brian Callahan,3,-0.11931818181818182,-0.15013357977872352,-1.0771101076879344,0.3940941569919256
Jay Gruden,6,-0.10827164733414733,-0.15367327852766446,-1.3637845057520066,0.23082296484368423
Darrell Bevell,6,-0.17789778545826931,-0.15406460500648644,-1.5781856347532215,0.17535338388777086
Bill Callahan,3,-0.10523073476702505,-0.15661193221258332,-1.8880106413638726,0.1996350171788463
Mike Nolan,2,-0.2258522727272727,-0.15909600291725515,-0.9778097099778416,0.5071423376052349
Matt Cavanaugh,5,-0.19460211607389027,-0.16014305760963818,-1.3099972649520668,0.2603624986316426
Arthur Smith,5,-0.09575148809523808,-0.16085132101763455,-0.9713361778067572,0.3863840865295737
Ken Dorsey,2,-0.12388392857142855,-0.163832172911757,-0.464150105232719,0.7233513721032129
Rob Chudzinski,7,-0.1558834622558701,-0.16389527946705287,-1.0877702940639586,0.3184498505097328
Tom Coughlin,2,-0.15889616935483875,-0.165379647875115,-0.4434046852721579,0.7343030824592945
Thomas Brown,2,-0.328125,-0.16800524014775559,-0.6524304276022709,0.6319816424218211
Jeremy Bates,2,-0.32454637096774197,-0.17803684275333506,-0.7727706809820278,0.5811578034122552
Brian Billick,3,-0.2064852150537634,-0.1865094059017407,-0.9641201267996204,0.43670959860509984
Dick Jauron,3,-0.16173835125448027,-0.18885180690922812,-1.39779949281638,0.2970326645997554
Kevin Stefanski,5,-0.15223958333333332,-0.20013807636371803,-1.2852011718213876,0.26808957078650814
Terry Robiskie,2,-0.20530913978494628,-0.20677491211056415,-0.4826687921785208,0.713720517090089
