coach,team,start,end,n_seasons
Dave Wannstedt (Games 1-9),MIA,2004,2004,1
David Culley,HOU,2021,2021,1
DeMeco Ryans,HOU,2023,2025,3
Declan Doyle,CHI,2025,2025,1
Dennis Allen,LV,2012,2014,3
Dennis Allen,NO,2022,2023,2
Dennis Allen (fired on November 4),NO,2024,2024,1
Dennis Erickson,SF,2003,2003,1
Dennis Green,ARI,2004,2006,3
Dick Jauron,BUF,2006,2009,4
Dick Jauron,CHI,2001,2003,3
Dick Jauron,DET,2005,2005,1
Dick LeBeau,CIN,2001,2002,2
Dick Vermeil,KC,2001,2005,5
Dirk Koetter,ATL,2012,2014,3
Dirk Koetter,ATL,2019,2020,2
Dirk Koetter,JAX,2007,2007,1
Dirk Koetter,JAX,2009,2011,3
Dirk Koetter,TB,2015,2018,4
Dom Capers,HOU,2002,2005,4
Don Breaux,WAS,2004,2006,3
Doug Marrone,BUF,2013,2014,2
Doug Marrone,JAX,2016,2020,5
Doug Marrone,NO,2006,2008,3
Doug Nussmeier,NO,2025,2025,1
Doug Pederson,JAX,2022,2024,3
Doug Pederson,KC,2013,2015,3
Doug Pederson,PHI,2016,2020,5
Dowell Loggains,CHI,2016,2017,2
Dowell Loggains,MIA,2018,2018,1
Dowell Loggains,NYJ,2019,2020,2
Dowell Loggains,TEN,2012,2013,2
Drew Petzing,ARI,2023,2025,3
Eddie Faulkner,PIT,2023,2023,1
Edgar Bennett,GB,2015,2017,3
Emmitt Thomas,ATL,2007,2007,1
Eric Bieniemy,KC,2018,2022,5
Eric Bieniemy,WAS,2023,2023,1
Eric Mangini,CLE,2009,2010,2
Eric Mangini,NYJ,2006,2008,3
Eric Studesville,MIA,2021,2021,1
Frank Reich,IND,2018,2021,4
Frank Reich,LAC,2014,2015,2
Frank Reich,PHI,2016,2017,2
Frank Reich; fired on November 27,CAR,2023,2023,1
Frank Smith,MIA,2022,2025,4
Freddie Kitchens,CLE,2018,2019,2
Freddie Kitchens,NYG,2021,2021,1
Gary Kubiak,BAL,2014,2014,1
Gary Kubiak,DEN,2001,2005,5
Gary Kubiak,DEN,2015,2016,2
Gary Kubiak,HOU,2006,2013,8
Gary Kubiak,MIN,2020,2020,1
Geep Chryst,SF,2015,2015,1
George Godsey,HOU,2015,2016,2
George Godsey,MIA,2021,2021,1
George Sefcik,ATL,2001,2001,1
George Seifert,CAR,2001,2001,1
Giff Smith,LAC,2023,2023,1
Gil Haskell,SEA,2001,2002,2
Gil Haskell,SEA,2005,2007,3
Grant Udinski,JAX,2025,2025,1
Grant Udinski,MIN,2024,2024,1
Greg Knapp,ATL,2004,2006,3
Greg Knapp,LV,2007,2008,2
Greg Knapp,LV,2012,2012,1
Greg Knapp,SEA,2009,2009,1
Greg Knapp,SF,2001,2003,3
Greg Olson,JAX,2015,2016,2
Greg Olson,LA,2006,2007,2
Greg Olson,LV,2013,2014,2
Greg Olson,LV,2018,2021,4
Greg Olson,LV,2025,2025,1
Greg Olson,TB,2009,2011,3
Greg Roman,BAL,2018,2022,5
Greg Roman,BUF,2015,2015,1
Greg Roman,LAC,2024,2025,2
Greg Roman,SF,2011,2014,4
Greg Schiano,TB,2012,2013,2
Gregg Williams,BUF,2001,2002,2
Gus Bradley,JAX,2013,2016,4
Hal Hunter,LAC,2012,2012,1
Harold Goodwin,ARI,2013,2017,5
Herm Edwards,KC,2006,2006,1
Herman Edwards,KC,2008,2008,1
Herman Edwards,NYJ,2001,2005,5
