coach,qb_id,qb_name,n_with,raw_with,resid_with,n_elsewhere,raw_elsewhere,resid_elsewhere,raw_delta,resid_delta
Curtis Modkins,00-0023682,Ryan Fitzpatrick,3,0.375,-0.18319277117420305,7,0.32142857142857145,-0.21381223106337474,0.05357142857142855,0.030619459889171696
Curtis Modkins,00-0027974,Colin Kaepernick,1,0.0625,-0.4574240986717267,2,0.53125,0.015876138024053042,-0.46875,-0.4733002366957797
Dan Campbell,00-0029701,Ryan Tannehill,1,0.40625,-0.1213997695852534,9,0.5138888888888888,0.0008459854607972025,-0.10763888888888884,-0.1222457550460506
Dan Campbell,00-0033106,Jared Goff,5,0.71875,0.16713811933041373,4,0.6328125,0.1246928349611861,0.0859375,0.04244528436922762
Dan Henning,00-0004161,Jake Delhomme,4,0.5234375,-0.0362374956317042,2,0.5625,0.04427000975121235,-0.0390625,-0.08050750538291654
Dan Henning,00-0019559,Chad Pennington,1,0.8125,0.2483783309957924,5,0.61875,0.07269031517637296,0.19374999999999998,0.17568801581941945
Dan Henning,00-0026197,Chad Henne,2,0.421875,-0.0580912026273217,1,0.03125,-0.4886740986717267,0.390625,0.430582896044405
Dan Pitcher,00-0036442,Joe Burrow,2,0.625,0.09258970800645729,4,0.59375,0.14189284559625645,0.03125,-0.049303137589799165
Dan Quinn,00-0026143,Matt Ryan,6,0.703125,0.15530022373203375,9,0.5694444444444444,0.06872052121428436,0.13368055555555558,0.0865797025177494
Darrell Bevell,00-0005106,Brett Favre,2,0.46875,-0.15885416666666669,9,0.6858198924731183,0.10723931203848976,-0.21706989247311825,-0.2660934787051564
Darrell Bevell,00-0005589,Gus Frerotte,1,0.34375,-0.2104482922201138,1,0.5,0.0181155123339658,-0.15625,-0.2285638045540796
Darrell Bevell,00-0008442,Brad Johnson,1,0.125,-0.4291982922201138,5,0.4887096774193548,-0.037441293243465096,-0.3637096774193548,-0.39175699897664873
Darrell Bevell,00-0026498,Matthew Stafford,2,0.375,-0.1432299902487876,14,0.5267857142857143,-0.02337695046818974,-0.1517857142857143,-0.11985303978059786
Darrell Bevell,00-0029263,Russell Wilson,6,0.78125,0.30254179973299,7,0.5535714285714286,0.002685330019162578,0.2276785714285714,0.2998564697138274
Darrell Bevell,00-0036971,Trevor Lawrence,1,0.15625,-0.1635964427750773,4,0.5625,0.0543803349611861,-0.40625,-0.2179767777362634
Darren Rizzi,00-0031280,Derek Carr,1,0.25,-0.3045754928315412,10,0.4625,-0.04853845062782641,-0.21250000000000002,-0.25603704220371476
Dave Campo,00-0020562,Chad Hutchinson,1,0.09375,-0.2260964427750773,1,0.03125,-0.4718479543666405,0.0625,0.24575151159156322
Dave Canales,00-0027973,Andy Dalton,1,0.3125,-0.1983137829912024,11,0.4659090909090909,-0.042478999449481664,-0.15340909090909088,-0.15583478354172073
Dave Canales,00-0034855,Baker Mayfield,1,0.65625,0.1363259013282732,6,0.5520833333333334,0.05840286125569055,0.10416666666666663,0.07792304007258266
Dave Canales,00-0039150,Bryce Young,1,0.21875,-0.2843479543666405,1,0.125,-0.1948464427750773,0.09375,-0.08950151159156322
Dave McGinnis,00-0001335,Jeff Blake,1,0.03125,-0.4506344876660341,2,0.5110887096774194,-0.048259871240455,-0.4798387096774194,-0.4023746164255791
Dave McGinnis,00-0013042,Jake Plummer,2,0.3996975806451613,-0.13271271134838145,5,0.6451612903225806,0.09200427547028903,-0.24546370967741932,-0.22471698681867047
Dave Ragone,00-0026143,Matt Ryan,1,0.1875,-0.3233137829912024,14,0.6540178571428571,0.13382855830799745,-0.4665178571428571,-0.45714234129919984
Dave Ragone,00-0032268,Marcus Mariota,1,0.4375,-0.147900182592818,4,0.328125,-0.12373215440374352,0.109375,-0.024168028189074486
Dave Wannstedt,00-0005180,Jay Fiedler,3,0.5379704301075269,-0.018323327365186465,1,0.5161290322580645,-0.0531249999999999,0.021841397849462374,0.03480167263481344
David Culley,00-0036898,Davis Mills,1,0.0625,-0.2573464427750773,1,0.03125,-0.4255844508880029,0.03125,0.1682380081129256
Declan Doyle,00-0039918,Caleb Williams,1,0.78125,0.3244155491119971,1,0.21875,-0.1010964427750773,0.5625,0.4255119918870744
Dennis Allen,00-0021429,Carson Palmer,1,0.25,-0.2693594208211144,11,0.5710227272727273,0.029890953023155906,-0.3210227272727273,-0.29925037384427033
Dennis Allen,00-0027973,Andy Dalton,1,0.375,-0.1068844876660341,11,0.4602272727272727,-0.05079075356995151,-0.08522727272727271,-0.05609373409608259
Dennis Allen,00-0031280,Derek Carr,2,0.3125,-0.1071029317980959,9,0.4722222222222222,-0.06397268172373484,-0.1597222222222222,-0.043130250074361054
Dennis Allen (fired on November 4),00-0031280,Derek Carr,1,0.25,-0.3045754928315412,10,0.4625,-0.04853845062782641,-0.21250000000000002,-0.25603704220371476
Dennis Erickson,00-0005755,Jeff Garcia,1,0.71875,0.1738535146846412,6,0.6606182795698925,0.1454537190137349,0.0581317204301075,0.02839979567090628
Dennis Green,00-0017200,Kurt Warner,1,0.40625,-0.179150182592818,6,0.6927083333333334,0.16673814041189194,-0.28645833333333337,-0.34588832300470995
Dennis Green,00-0021206,Josh McCown,1,0.21875,-0.2843479543666405,4,0.21875,-0.356738264404002,0.0,0.07239031003736152
Dick Jauron,00-0015700,Kordell Stewart,1,0.28125,-0.2828716690042075,2,0.6935483870967741,0.14895932163187856,-0.41229838709677413,-0.4318309906360861
Dick Jauron,00-0021141,Joey Harrington,1,0.25,-0.2776497695852534,5,0.15625,-0.31266988640336124,0.09375,0.03502011681810785
