coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Dennis Allen,3,-0.1886574074074074,0.3125,0.5011574074074074,-2.711030767740526,0.1133833327414263
Matt Cavanaugh,5,-0.19460211607389027,0.29203629032258066,0.48663840639647094,-1.7814428345980118,0.14943281170448242
Terry Robiskie,2,-0.20530913978494628,0.3046875,0.5099966397849462,-0.4782778864970646,0.7159915703861597
Brian Billick,3,-0.2064852150537634,0.38776881720430106,0.5942540322580645,-1.0959946138567604,0.38743563147176996
Curtis Modkins,2,-0.20758928571428573,0.21875,0.4263392857142857,-0.7948717948717948,0.5724422416850777
Bill Muir,4,-0.21789314516129035,0.359375,0.5772681451612903,-2.2347874618698156,0.11149962175758418
Alex Van Pelt,5,-0.22541666666666665,0.35625,0.5816666666666667,-1.141369261382836,0.3174058879324776
Mike Nolan,2,-0.2258522727272727,0.171875,0.3977272727272727,-1.0,0.5000000000000001
Zac Taylor,2,-0.23279671717171715,0.265625,0.4984217171717171,-1.8600252206809578,0.31404089025767673
Sherman Lewis,2,-0.23928931451612906,0.3034274193548387,0.5427167338709677,-0.9107913669064748,0.5297001401081424
Chuck Pagano,3,-0.2526489695340502,0.3411458333333333,0.5937948028673835,-2.085695762375469,0.17232514844295185
Bobby Petrino,2,-0.2799395161290323,0.0473790322580645,0.3273185483870968,-1.8827118644067793,0.3108327623976665
Freddie Kitchens,2,-0.28489583333333335,0.2109375,0.49583333333333335,-7.493150684931501,0.08446115907655297
Gus Bradley,2,-0.3046875,0.109375,0.4140625,-3.5454545454545454,0.17501304070503362
Jedd Fisch,3,-0.3098958333333333,0.17708333333333334,0.4869791666666667,-7.665463854169887,0.016596091136346712
Jeremy Bates,2,-0.32454637096774197,0.109375,0.43392137096774197,-1.928421683138664,0.3045488170573837
Thomas Brown,2,-0.328125,0.171875,0.5,-1.4,0.3948630865774931
Scott Turner,2,-0.3293269230769231,0.109375,0.4387019230769231,-22.833333333333325,0.027863352522958403
Steve Spagnuolo,3,-0.34750839438339437,0.109375,0.45688339438339437,-6.707119778697068,0.021514621347422314
