season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2008,BAL,16,385.0,24.0625,1073,-18.127323956011956,-0.0168940577409244,5221.0,16,326.3125,-0.0168940577409244
2008,BUF,16,336.0,21.0,972,-47.53903516142157,-0.0489084723882938,4899.0,16,306.1875,-0.0489084723882938
2008,CAR,16,414.0,25.875,944,62.889853143429626,0.0666206071434635,5611.0,16,350.6875,0.0666206071434635
2008,CHI,16,375.0,23.4375,1005,-93.96814328618466,-0.0935006400857558,4747.0,16,296.6875,-0.0935006400857558
2008,CIN,16,204.0,12.75,996,-172.5306566343388,-0.1732235508376895,3936.0,16,246.0,-0.1732235508376895
2008,CLE,16,232.0,14.5,953,-145.0099698376327,-0.1521615633133606,3994.0,16,249.625,-0.1521615633133606
2008,DAL,16,362.0,22.625,999,-19.18656230832916,-0.0192057680764055,5527.0,16,345.4375,-0.0192057680764055
2008,DEN,16,370.0,23.125,1044,107.71512686376605,0.1031754088733391,6352.0,16,397.0,0.1031754088733391
2008,DET,16,268.0,16.75,952,-152.78479545057232,-0.160488230515307,4288.0,16,268.0,-0.160488230515307
2008,GB,16,419.0,26.1875,1036,54.61218157931283,0.0527144609838926,5629.0,16,351.8125,0.0527144609838926
2008,HOU,16,366.0,22.875,1031,37.96704274771104,0.0368254536835218,6127.0,16,382.9375,0.0368254536835218
2008,IND,16,377.0,23.5625,984,114.08093552448916,0.1159359100858629,5386.0,16,336.625,0.1159359100858629
2008,JAX,16,302.0,18.875,1037,-6.072591587677472,-0.0058559224567767,5100.0,16,318.75,-0.0058559224567767
2008,KC,16,291.0,18.1875,980,-51.275617226666704,-0.0523220583945578,4949.0,16,309.3125,-0.0523220583945578
2008,LA,16,232.0,14.5,1013,-188.01291592330008,-0.1856001144356368,4603.0,16,287.6875,-0.1856001144356368
2008,LAC,16,439.0,27.4375,956,122.12234717863544,0.1277430409818362,5588.0,16,349.25,0.1277430409818362
2008,LV,16,263.0,16.4375,942,-140.97102878021283,-0.1496507736520306,4355.0,16,272.1875,-0.1496507736520306
