team,plays,total_epa,mean_epa,total_yards,games_est,season
ATL,1025,68.47160667353003,0.06680156748637077,5799.0,16,2008
BAL,1073,-18.127323956011953,-0.016894057740924468,5221.0,16,2008
BUF,972,-47.53903516142157,-0.0489084723882938,4899.0,16,2008
CAR,944,62.889853143429626,0.06662060714346359,5611.0,16,2008
CHI,1005,-93.96814328618466,-0.09350064008575587,4747.0,16,2008
CIN,996,-172.5306566343388,-0.17322355083768956,3936.0,16,2008
CLE,953,-145.0099698376327,-0.15216156331336064,3994.0,16,2008
DAL,999,-19.186562308329158,-0.019205768076405564,5527.0,16,2008
DEN,1044,107.71512686376605,0.10317540887333912,6352.0,16,2008
DET,952,-152.78479545057232,-0.16048823051530706,4288.0,16,2008
GB,1036,54.61218157931283,0.052714460983892694,5629.0,16,2008
HOU,1031,37.96704274771104,0.036825453683521865,6127.0,16,2008
IND,984,114.08093552448916,0.11593591008586297,5386.0,16,2008
JAX,1037,-6.072591587677472,-0.005855922456776733,5100.0,16,2008
KC,980,-51.275617226666704,-0.05232205839455786,4949.0,16,2008
LA,1013,-188.01291592330008,-0.18560011443563681,4603.0,16,2008
LAC,956,122.12234717863545,0.12774304098183625,5588.0,16,2008
LV,942,-140.97102878021283,-0.1496507736520306,4355.0,16,2008
MIA,964,80.70097611704705,0.08371470551560897,5534.0,16,2008
MIN,1041,-41.38758875442137,-0.03975753002345953,5298.0,16,2008
NE,1095,114.01324413136615,0.10412168413823393,5878.0,16,2008
NO,1064,124.0326007344904,0.11657199317151354,6580.0,16,2008
NYG,1054,97.41071391287038,0.09242003217539883,5718.0,16,2008
NYJ,1013,36.528375443649125,0.036059600635389065,5317.0,16,2008
PHI,1058,4.733669584011662,0.0044741678487822895,5621.0,16,2008
PIT,1031,-33.08415240977851,-0.032089381580774505,5005.0,16,2008
SEA,948,-55.52992728617775,-0.05857587266474446,4388.0,16,2008
SF,990,-55.12107537602017,-0.05567785391517189,4991.0,16,2008
TB,1068,-35.30423364145128,-0.03305639854068472,5468.0,16,2008
TEN,988,-1.8680159629161437,-0.001890704415907028,5041.0,16,2008
WAS,1052,-35.35169516963029,-0.033604272974933735,5135.0,16,2008
ARI,1000,-25.56357725246549,-0.02556357725246549,5527.0,16,2009
ATL,1069,42.548477417769625,0.03980213041886775,5462.0,16,2009
BAL,1044,60.4751242798664,0.057926364252745596,5627.0,16,2009
BUF,940,-118.5386022457178,-0.12610489600608277,4390.0,16,2009
CAR,1033,-58.14293831187436,-0.05628551627480577,5315.0,16,2009
CHI,993,-86.17622311434283,-0.08678370907788804,4978.0,16,2009
CIN,1044,-19.263750353496164,-0.018451868154689813,4961.0,16,2009
CLE,989,-165.42905726677196,-0.16726901644769662,4170.0,16,2009
DAL,1046,93.50105813905961,0.08938915692070708,6408.0,16,2009
DEN,1063,-29.904234368013704,-0.02813192320603359,5472.0,16,2009
DET,1061,-179.64190564517585,-0.16931376592382266,4790.0,16,2009
GB,1071,133.08663721384312,0.12426390029303747,6091.0,16,2009
HOU,1040,44.397028052372,0.042689450050357694,6149.0,16,2009
IND,1004,125.69764652186238,0.1251968590855203,5826.0,16,2009
JAX,1025,8.590321533258575,0.008380801495862024,5407.0,16,2009
KC,1062,-130.40713664933048,-0.12279391398242041,4837.0,16,2009
LA,1031,-214.4615783641488,-0.20801317009131795,4474.0,16,2009
LAC,993,142.64369856783895,0.14364924327073408,5773.0,16,2009
LV,973,-187.26207266627688,-0.19245845083892793,4266.0,16,2009
MIA,1113,3.203186976333575,0.002877975719976258,5411.0,16,2009
MIN,1072,90.11239498748897,0.08406006995101582,6094.0,16,2009
NE,1112,130.43170342974952,0.11729469732891144,6380.0,16,2009
NO,1052,123.1560544655617,0.1170684928379864,6476.0,16,2009
NYG,1049,64.05062200822509,0.06105874357314117,5867.0,16,2009
NYJ,1043,-62.48235620212403,-0.05990638178535382,5160.0,16,2009
PHI,992,47.20596917901068,0.04758666247884141,5750.0,16,2009
PIT,1045,44.53564835351217,0.042617845314365715,5955.0,16,2009
SEA,1075,-116.26856731221447,-0.10815680680205997,5076.0,16,2009
SF,958,-64.331951484289,-0.06715235019236847,4664.0,16,2009
TB,991,-154.11498630182803,-0.15551461786259135,4611.0,16,2009
TEN,1007,10.105038119877161,0.010034794557971361,5636.0,16,2009
WAS,989,-47.19527182466697,-0.04772019395820725,5020.0,16,2009
ARI,958,-210.22997114913198,-0.21944673397612943,4301.0,16,2010
ATL,1138,76.72085227691288,0.0674172691361273,5482.0,16,2010
BAL,1038,28.943459863868924,0.02788387270122247,5170.0,16,2010
BUF,978,-104.88266433912747,-0.10724198807681745,4872.0,16,2010
CAR,986,-245.3341752006292,-0.24881762190733184,4137.0,16,2010
CHI,962,-93.17619946184034,-0.09685675619733923,4618.0,16,2010
CIN,1078,-45.0623883798165,-0.041801844508178566,5270.0,16,2010
CLE,944,-73.64965446312097,-0.07801870176178069,4650.0,16,2010
DAL,1064,-0.09498940231164266,-8.927575405229573e-05,5836.0,16,2010
DEN,1051,-18.620738686333258,-0.017717163355217183,5581.0,16,2010
DET,1098,-48.16336951413315,-0.04386463525877336,5431.0,16,2010
