coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
Bob Palcic,TE,Day3+UDFA,5,0.5,0.281,0.219,0.3832564219689886
Anthony Lynn,RB,Day3+UDFA,18,0.194,0.315,-0.12,0.3855101647106491
Tom Melvin,TE,Day3+UDFA,16,0.169,0.281,-0.112,0.38764465964976774
Shawn Jefferson,WR,Day2,23,0.464,0.63,-0.166,0.3923356012306134
Eric Studesville,RB,Day2,8,1.698,1.096,0.602,0.393106372103163
David Raih,WR,Day2,5,1.5,0.63,0.87,0.3987037646958889
Fred Graves,WR,Day1,6,0.917,1.299,-0.383,0.40066309081872875
Mark Hutson,TE,Day3+UDFA,6,0.75,0.281,0.469,0.402174352436259
John Perry,WR,Day3+UDFA,6,0.417,0.234,0.183,0.4041751474908402
Wade Harman,TE,Day3+UDFA,13,0.487,0.281,0.206,0.40436799340037677
Mike Mularkey,TE,Day3+UDFA,5,1.0,0.281,0.719,0.40595847183460715
Mike Sullivan,WR,Day2,6,0.444,0.63,-0.185,0.4069965614357601
Ben Johnson,WR,Day3+UDFA,5,0.6,0.234,0.366,0.4118168642221673
Joker Phillips,WR,Day3+UDFA,5,0.6,0.234,0.366,0.4118168642221673
Charlie Williams,WR,Day3+UDFA,5,0.6,0.234,0.366,0.41181686422216746
Earnest Byner,RB,Day3+UDFA,10,0.2,0.315,-0.115,0.41232417822960304
Aaron Moorehead,WR,Day3+UDFA,8,0.125,0.234,-0.109,0.412618854557373
Arthur Smith,TE,Day3+UDFA,5,0.9,0.281,0.619,0.413197583498586
Earle Mosley,RB,Day3+UDFA,6,0.167,0.315,-0.148,0.41536981507288306
Autry Denson,RB,Day3+UDFA,6,0.167,0.315,-0.148,0.41536981507288306
Bo Hardegree,QB,Day2,5,0.4,0.62,-0.22,0.41951186237230964
John Tice,TE,Day3+UDFA,5,0.8,0.281,0.519,0.42389545824485697
Stan Hixon,WR,Day2,8,0.417,0.63,-0.213,0.4355920435339434
Ronald Curry,WR,Day2,7,1.095,0.63,0.465,0.4357035355536017
George Godsey,TE,Day3+UDFA,6,0.833,0.281,0.552,0.4370946795661373
Clancy Barone,TE,Day2,5,1.3,0.837,0.463,0.43801165023198124
Henry Ellard,WR,Day3+UDFA,14,0.381,0.234,0.147,0.4473564546259107
Chad Hall,WR,Day3+UDFA,12,0.486,0.234,0.252,0.4491637458888383
Jon Embree,TE,Day3+UDFA,8,0.688,0.281,0.406,0.45038180753406626
Jason Vrable,WR,Day3+UDFA,11,0.394,0.234,0.16,0.45052424505236344
Ken Zampese,QB,Day3+UDFA,6,0.583,0.419,0.164,0.4513650103515016
Greg Lewis,WR,Day3+UDFA,8,0.625,0.234,0.391,0.45777457488012974
Todd Monken,WR,Day2,6,0.417,0.63,-0.213,0.46761410051121327
James Urban,WR,Day3+UDFA,9,0.148,0.234,-0.086,0.4684582866252387
Richard Mann,WR,Day2,9,0.963,0.63,0.333,0.46973682841030956
Pete Hoener,TE,Day3+UDFA,13,0.462,0.281,0.18,0.47276533842380547
Phil McGeoghan,WR,Day2,5,1.2,0.63,0.57,0.4811363065835141
Jim Anderson,RB,Day3+UDFA,9,0.528,0.315,0.213,0.48330803367804936
Ray Sherman,WR,Day1,6,1.111,1.299,-0.188,0.4851513486714578
Tony Dews,RB,Day2,6,1.65,1.096,0.554,0.48562291495388327
Greg Olson,QB,Day2,6,0.417,0.62,-0.204,0.48694283783038594
James Saxon,RB,Day3+UDFA,13,0.574,0.315,0.26,0.49446492844752615
Tom Rathman,RB,Day3+UDFA,22,0.227,0.315,-0.087,0.4966357636114537
Curtis Modkins,RB,Day2,7,0.762,1.096,-0.334,0.49904930344468906
David Culley,WR,Day3+UDFA,8,0.146,0.234,-0.088,0.4998255871794458
Pat McPherson,TE,Day3+UDFA,11,0.197,0.281,-0.084,0.500908577204433
Keenan McCardell,WR,Day3+UDFA,15,0.317,0.234,0.083,0.5019800466827513
Justin Outten,TE,Day3+UDFA,5,0.533,0.281,0.252,0.5033021529924646
Mike Wilson,WR,Day2,5,1.1,0.63,0.47,0.5035092478105965
Bill Musgrave,QB,Day1,5,1.0,1.321,-0.321,0.5122152149587995
John McNulty,WR,Day2,5,1.067,0.63,0.437,0.5129806625018293
Eric Yarber,WR,Day3+UDFA,19,0.382,0.234,0.148,0.5135483130857056
Willie Taggart,RB,Day3+UDFA,5,0.6,0.315,0.285,0.5149727235757989
Antwaan Randle El,WR,Day3+UDFA,9,0.5,0.234,0.266,0.5151844475261655
Ricky Thomas,TE,Day3+UDFA,7,0.452,0.281,0.171,0.5168113533037983
Skip Peete,RB,Day2,12,1.486,1.096,0.39,0.5168730052228789
Mike Groh,WR,Day2,12,0.458,0.63,-0.172,0.5185531851769135
Richard Williamson,WR,Day2,5,1.084,0.63,0.454,0.5192451434345486
Bob Bicknell,TE,Day3+UDFA,6,0.167,0.281,-0.115,0.5224783200400263
Shane Day,TE,Day3+UDFA,6,0.167,0.281,-0.115,0.5224783200400263
John Lilly,TE,Day3+UDFA,6,0.167,0.281,-0.115,0.5224783200400263
Zach Azzanni,WR,Day2,9,0.889,0.63,0.259,0.524075289465685
Sam Gash,RB,Day3+UDFA,7,0.214,0.315,-0.1,0.5249763049112284
Wilbert Montgomery,RB,Day2,6,0.722,1.096,-0.373,0.5251904994602237
Mike Furrey,WR,Day3+UDFA,6,0.417,0.234,0.183,0.5303714380743537
Kippy Brown,WR,Day3+UDFA,16,0.343,0.234,0.109,0.5322469773202171
Bobby Williams,WR,Day3+UDFA,5,0.4,0.234,0.166,0.5348544261360902
Todd Haley,WR,Day2,6,1.111,0.63,0.481,0.5353772383752168
