coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
Mike Mularkey,RB,15,1,0.06666666666666667,0.09202226345083488,1.0
Mike Nolan,WR,16,0,0.0,0.0410126582278481,1.0
Sean Payton,WR,94,3,0.031914893617021274,0.0410126582278481,1.0
Rod Marinelli,WR,15,0,0.0,0.0410126582278481,1.0
Eric Mangini,WR,23,0,0.0,0.0410126582278481,1.0
Gary Kubiak,QB,15,0,0.0,0.05466970387243736,1.0
Gary Kubiak,TE,29,2,0.06896551724137931,0.07368918280585735,1.0
Mike Tomlin,QB,32,1,0.03125,0.05466970387243736,1.0
Ken Whisenhunt,QB,16,0,0.0,0.05466970387243736,1.0
Tony Sparano,WR,18,0,0.0,0.0410126582278481,1.0
Mike Smith,RB,19,1,0.05263157894736842,0.09202226345083488,1.0
Jim Caldwell,RB,27,2,0.07407407407407407,0.09202226345083488,1.0
Jim Schwartz,TE,15,1,0.06666666666666667,0.07368918280585735,1.0
Raheem Morris,WR,33,1,0.030303030303030304,0.0410126582278481,1.0
Chan Gailey,WR,17,0,0.0,0.0410126582278481,1.0
Jim Harbaugh,TE,20,1,0.05,0.07368918280585735,1.0
Mike Munchak,WR,15,0,0.0,0.0410126582278481,1.0
Pat Shurmur,WR,26,1,0.038461538461538464,0.0410126582278481,1.0
Todd Bowles,WR,54,2,0.037037037037037035,0.0410126582278481,1.0
Hue Jackson,RB,16,1,0.0625,0.09202226345083488,1.0
Bruce Arians,TE,25,1,0.04,0.07368918280585735,1.0
Bruce Arians,WR,49,2,0.04081632653061224,0.0410126582278481,1.0
Dennis Allen,RB,18,1,0.05555555555555555,0.09202226345083488,1.0
Mike McCoy,RB,17,1,0.058823529411764705,0.09202226345083488,1.0
Chip Kelly,WR,15,0,0.0,0.0410126582278481,1.0
Bill O'Brien,RB,22,2,0.09090909090909091,0.09202226345083488,1.0
Mike Zimmer,TE,21,1,0.047619047619047616,0.07368918280585735,1.0
Dan Campbell,RB,22,2,0.09090909090909091,0.09202226345083488,1.0
Dan Quinn,RB,29,2,0.06896551724137931,0.09202226345083488,1.0
Dan Quinn,TE,22,1,0.045454545454545456,0.07368918280585735,1.0
Sean McDermott,WR,49,2,0.04081632653061224,0.0410126582278481,1.0
Kyle Shanahan,RB,32,3,0.09375,0.09202226345083488,1.0
Matt Nagy,WR,17,0,0.0,0.0410126582278481,1.0
Mike Vrabel,WR,41,1,0.024390243902439025,0.0410126582278481,1.0
Matt LaFleur,TE,26,2,0.07692307692307693,0.07368918280585735,1.0
Brian Flores,RB,15,1,0.06666666666666667,0.09202226345083488,1.0
Brian Flores,WR,18,0,0.0,0.0410126582278481,1.0
Vic Fangio,WR,15,0,0.0,0.0410126582278481,1.0
Kevin Stefanski,RB,22,2,0.09090909090909091,0.09202226345083488,1.0
Joe Judge,WR,15,0,0.0,0.0410126582278481,1.0
Nick Sirianni,RB,17,1,0.058823529411764705,0.09202226345083488,1.0
Nick Sirianni,WR,22,0,0.0,0.0410126582278481,1.0
Arthur Smith,WR,15,0,0.0,0.0410126582278481,1.0
Robert Saleh,WR,18,0,0.0,0.0410126582278481,1.0
DeMeco Ryans,WR,17,0,0.0,0.0410126582278481,1.0
